hotel_id,hotel_source,hotel_name,room_name,bed_type,bed_category,room_category,available_rooms,room_facilities,base_price,tax_price,total_price,checkin,checkout,hotel_url
BOOKING_2,booking,Us,King Suite with Spa Bath,king bed,King,Suite,4,"['1 room', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Extra long beds (> 2 metres)', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",9702.0,1310.0,11012.0,2025-11-02,2025-11-03,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,King Room,king bed,King,Normal,7,"['1 room', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",7938.0,1072.0,9010.0,2025-11-02,2025-11-03,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,King Room with Roll-In Shower - Disability Access/Non-Smoking,king bed,King,Normal,2,"['1 room', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Extra long beds (> 2 metres)', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",7938.0,1072.0,9010.0,2025-11-02,2025-11-03,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,Queen Room with Two Queen Beds - Non-Smoking,queen beds,Queen,Normal,0,"['1 room', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Single-room AC for guest accommodation', 'Carbon monoxide detector']",8820.0,1191.0,10011.0,2025-11-02,2025-11-03,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,Family King Suite with Sofa Bed - Non-Smoking,king bedand1 sofa bed,King,Suite,2,"['Private suite', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Sofa', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Sofa bed', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",11025.0,1488.0,12513.0,2025-11-02,2025-11-03,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,Family Queen Suite with Sofa Bed,queen beds,Queen,Suite,2,"['Private suite', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Coffee machine', 'Free Wifi', 'Shower', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Tea/Coffee maker', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",12348.0,1667.0,14015.0,2025-11-02,2025-11-03,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,Two-Room Queen Suite,sofa bedand2 queen beds,Queen,Suite,2,"['Private suite', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Coffee machine', 'Free Wifi', 'Shower', 'Toilet', 'Sofa', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Tea/Coffee maker', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Sofa bed', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",12789.0,1727.0,14516.0,2025-11-02,2025-11-03,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,Queen Suite with Sofa Bed,queen beds,Queen,Suite,1,"['Private suite', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Single-room AC for guest accommodation', 'Carbon monoxide detector']",11025.0,1488.0,12513.0,2025-11-02,2025-11-03,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,King Suite with Spa Bath,king bed,King,Suite,3,"['1 room', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Extra long beds (> 2 metres)', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",9702.0,1310.0,11012.0,2025-11-04,2025-11-05,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,King Room,king bed,King,Normal,0,"['1 room', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",7938.0,1072.0,9010.0,2025-11-04,2025-11-05,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,King Room with Roll-In Shower - Disability Access/Non-Smoking,king bed,King,Normal,2,"['1 room', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Extra long beds (> 2 metres)', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",7938.0,1072.0,9010.0,2025-11-04,2025-11-05,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
BOOKING_2,booking,Us,Queen Room with Two Queen Beds - Non-Smoking,queen beds,Queen,Normal,0,"['1 room', 'Bathtub', 'Air conditioning', 'Private bathroom', 'Flat-screen TV', 'Free Wifi', 'Toilet', 'Towels', 'Linens', 'Socket near the bed', 'Desk', 'TV', 'Telephone', 'Heating', 'Hairdryer', 'Carpeted', 'Cable channels', 'Alarm clock', 'Wardrobe or closet', 'Toilet paper', 'Carbon monoxide detector', 'Single-room AC for guest accommodation']",8820.0,1191.0,10011.0,2025-11-04,2025-11-05,https://www.booking.com/hotel/us/best-western-plover.html?aid=304142&label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4ArDI-sYGwAIB0gIkODhkOWY1YzgtMTk5OS00MzI4LTgxNGYtZDFiMjg0OTQ1Y2U52AIB4AIB&sid=b4a3f7b31a243b80f8ac20db0073a78a&checkin=2025-11-01&checkout=2025-11-05&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&soh=1&sr_order=popularity&srepoch=1759421677&srpvid=8df8722f6fa0016b&type=total&ucfs=1&#no_availability_msg
