hotel_id,hotel_source,hotel_name,room_name,bed_type,bed_category,room_category,available_rooms,base_price_usd,tax_price_usd,total_price_usd,room_facilities,checkin,checkout,hotel_url
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5,4913,0,4913,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-13,2025-11-14,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5,5201,0,5201,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-13,2025-11-14,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"1 Queen Bed, Suite, Nonsmoking",queen bed,Queen,Suite,5,7517,0,7517,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '1 queen bed', 'Whirlpool bathtub', 'Window', 'Sleep comfort items', 'Non-smoking', 'Shared bathroom', 'Closet']",2025-11-13,2025-11-14,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Suite, Nonsmoking",king bedS,King,Suite,0,10186,0,10186,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '1 king bed', 'Separate shower/bathtub', 'Window', 'Blackout curtains', 'Top floor available', 'Non-smoking', 'Shared bathroom']",2025-11-13,2025-11-14,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Nonsmoking",king bed,King,Normal,5,5725,0,5725,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '1 king bed', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-15,2025-11-16,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5,6303,0,6303,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-15,2025-11-16,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Nonsmoking",king bed,King,Normal,5,6303,0,6303,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '1 king bed', 'Bathtub', 'Window', 'Sleep comfort items', 'Non-smoking', 'Shared bathroom', 'Closet']",2025-11-15,2025-11-16,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5,6303,0,6303,"['Wi-Fi [free]', 'Room size: 28 m²/301 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-15,2025-11-16,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"2 Queen Beds, Nonsmoking",queen beds,Queen,Normal,5,6591,0,6591,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '2 queen beds', 'Bathtub', 'Window', 'Sleep comfort items', 'Ground floor available', 'Non-smoking', 'Shared bathroom']",2025-11-15,2025-11-16,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"1 Queen Bed, Suite, Nonsmoking",queen bed,Queen,Suite,5,9204,0,9204,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '1 queen bed', 'Whirlpool bathtub', 'Window', 'Sleep comfort items', 'Non-smoking', 'Shared bathroom', 'Closet']",2025-11-15,2025-11-16,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
AGODA_2,agoda,Quality Inn New London,"1 King Bed, Suite, Nonsmoking",king bedS,King,Suite,0,12374,0,12374,"['Wi-Fi [free]', 'Room size: 42 m²/452 ft²', 'Street view', '1 king bed', 'Separate shower/bathtub', 'Window', 'Blackout curtains', 'Top floor available', 'Non-smoking', 'Shared bathroom']",2025-11-15,2025-11-16,https://www.agoda.com/americas-best-value-inn-new-london_4/hotel/new-london-wi-us.html?countryId=181&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-11-1&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=8&los=4&searchrequestid=88693a4b-7fef-4a69-9b08-650154e6aa7b&ds=CH3TEme3dqOaFa9f
